channelId,channelName,viewCount,subscriberCount,videoCount,uploads,videoIDs
UC78cxCAcp7JfQPgKxYdyGrg,emma chamberlain,1612441290,12000000,288,UU78cxCAcp7JfQPgKxYdyGrg,"ppMYKsrTauc,9LjVjVFUoTE,yy9njuICt_U,ZSUzODWPIdE,Iuet9k9_m8Q,NYEZGDRPUJo,MD35zQk7xYs,Xl1iR47dzes,-gBfn6LBh-E,0K27MiJZrRo,vLIreLOw2nM,_kJjvzC2QdI,PgTRc6MXFa4,38yZqeSJY4M,TIp_mBokspA,oNz4UlLyp5Y,cjkUrUEfzko,Nb1zIfaGCuA,UXe3votrOOs,L2o46HpfIYA,D3cQLBXJNNs,eE1Jr1dHP20,S4iDB9NhGck,F14Flnq3zCY,UNRCO3rNugs"
UC7_YxT-KID8kRbqZo7MyscQ,Markiplier,20595879662,35600000,5513,UU7_YxT-KID8kRbqZo7MyscQ,"z6FOMX6HD1I,plmVksx5M4U,vVlaIT6BoCQ,Q4_JmPQDdak,Wy19_DNhMkQ,O-5BmqCBivA,FcfM8KMqlew,vJMHlQIJvHM,r36zLaNsF10,04eiGamSDk0,_sZBIWWPFUM,J5aUVxsLQkY,9DGNyqwKKjs,vrKCAUgIHxg,t1KNivLTyXc,0_LvWU8JfbQ,Jqf8Kg7lABM,3HOav96sQBA,BZQLUxMFZG4,PJg_rnK7TFo,DLk7nkxgsq8,qHpLCsZ2fTs,nPl6YGB5Ik0,Pqbwj386aj4,UAr9Z6mduPo"
UCWJ2lWNubArHWmf3FIHbfcQ,NBA,12779785424,20800000,51610,UUWJ2lWNubArHWmf3FIHbfcQ,"W2Y9dCMfsvM,mTpfo0MwKoI,NsqADSR57PA,5R9KPetjFZU,YqBv9_u-agw,-nWjPSlH56E,PkaAqV8LCV0,sPfCiLYqnjE,N2Zs7gVKqJg,fPPcQUTVTHI,T7ozeVaGxt4,IJkWaYQ07zg,UC1qlNcGU8k,OjQju8Ue7bQ,-e3cxKv6oQY,G1BCHFzFAM0,HZel4XNSbWY,SjSm1XMRqzE,uRO7YWdlhDo,b5m0ZF3BmtA,M0jegJigiWg,PyGZ-OqLHb8,lCmPxj-_mo8,dUZhcG5ZrDI,0gSJXpImqII"
UCoLUji8TYrgDy74_iiazvYA,Jarvis Johnson,238649005,2040000,146,UUoLUji8TYrgDy74_iiazvYA,"KW64FiB0ITg,Gw_r47vQ2Sw,SUGfvEAlvk0,2wM3pf79QSk,S_Y6Adi53lc,Cz1s7Bcr-OI,OfzIrqErDIs,HxsV_cPjPuc,me51ngAYAI0,ohYfvC8wjSA,YQZL7gL4KfQ,2Ei6hWcdXEo,EgzvPRvA3fM,ajjGbRRwuww,Mzm69rcmyfM,SxfZLvUe3BU,qt9FZCQ1n3M,4DfCXjwQBRA,Lh5VblBaRfc,SOa7ItjO9VQ,rPExiTCnLio,zG9f7bkyl-4,XawmVUs13DE,vSmFUVyEn74,hcfSilKaIPs"
UC9CoOnJkIBMdeijd9qYoT_g,Ariana Grande,24426436772,53000000,154,UU9CoOnJkIBMdeijd9qYoT_g,"wBWK06E3oxw,TSBptom8bvw,NaZXwYjal8E,MDea45GRuwk,NN9aqmCprSo,zp8-BhMCnTA,piiLZJNKRVM,toSKi5mzY9Q,hYhIqVKtUL4,WWf4q0R6HZQ,Sy-uZRmOzU4,HR0HUFWoyL8,-ageLu8V6FY,8WsWi-BDaug,yka6mulGMmU,1eI5HrQe0Fc,BnyvDBGojoQ,X6SuW5HhQoc,VronettmNRI,RiM0moNk74o,uL52DajINdY,F6OOVNethn8,dDIJBIZtTyM,ZTF6vF7nHlM,r2XJ9P1NvJc"
UCJkMlOu7faDgqh4PfzbpLdg,Nerdwriter1,235198614,3150000,283,UUJkMlOu7faDgqh4PfzbpLdg,"gfpSSz8fZrI,0_4JkQSI28c,l1EaaCeAYFI,xC-cyrIq-qI,WEm957MojS8,RP_-8gzd5NY,PeusvKr7dnA,RhwAXc2YvPc,22osQzxenl8,tjLk5pNn2Js,6kfCkX7jAbQ,90hpwMFtHvU,AAwbvGywdOc,MN-1jdFSDs8,S0C62-HzbwY,ww_lmtMpfqE,_RxTZqhmNZM,jceCjCJlbi0,PoV9JyiUcTs,r20njl0plVU,_jqGUJWiCyk,qfxvcIITWIg,C0AjW1O6SXA,pUs9A10WbEI,AAHLBjuERYc"
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,33616409876,189000000,755,UUX6OQ3DkcsbYNE6H8uQQuVA,"AZlBZuS4hr0,Gx6VeIIbWwM,CAOY8EKH1qU,IQxea9UB1nQ,KrLj6nc516A,zgLhCT7aFCA,L5kIXRdwGAI,19NmWqv4Alk,vBpQ1SlfVtU,NnNZLCl78Ao,NTZhwAldqwg,J_z-W4UVHkw,mKIhHNznt4s,jObOjhUkf50,O3YVBJ2n5xg,yhB3BgJyGl8,CP82DAKzL1U,fuhE6PYnRMc,stUofW3whpE,48h57PspBec,ooAwCOP67GQ,FM7Z-Xq8Drc,WTOm65IZneg,8kggT2ej-lo,GGBy50KtvRk"
UCPDXXXJj9nax0fr0Wfc048g,Dropout,7224352038,14700000,4384,UUPDXXXJj9nax0fr0Wfc048g,"ehTeymh1xgg,bvX3oinPTCg,3kDdr8HBX8U,PlCHRkH9tEk,oglws2QISVk,0qKRYbagEzA,765samey6MQ,K7ttuFXHpwk,9Nzkwl19KYE,UJtWj7cSH8Q,NarEddGJPFc,LENSqVW3Q3k,guUXnvUws5g,8_SYzil1e-Y,DuQ8AqB_7jE,iJQ93UuhkLA,VGViRoSBlcQ,7j1f_cVTo84,9EbvU8OZtqI,wTOVolIMwcg,Wjb_bHXIFDk,m9zvCz_0gj0,HfpR5FFg4Yc,nRyrfhp5iP0,XNjwTXvfXxQ"
UCoxcjq-8xIDTYp3uz647V5A,Numberphile,647230526,4360000,697,UUoxcjq-8xIDTYp3uz647V5A,"zF814SmPY5A,4dyytPboqvE,hzcdcrsyA9Y,CcZf_7Fb4Us,cW27QJYNXtU,eupAXdWPvX8,EkFX9jUJPKk,ArADlJx7SlU,_ZS3Oqg1AX0,Kdsj84UdeYg,xBfAYxxRsjY,oSXVmuNIfRI,IlZOLwf87gM,qw2Pl_Nk3CA,5q32heFz1bs,NWahomDHaDs,WR3GqqWAmfw,rHdYv62F5fs,KNq0eUBxPXc,Sgupo9DLMGs,YAsHGOwB408,-UBDRX6bk-A,Uc0T8IvtBvE,DUaqiM1bGX4,tSuCa8zN4mo"
UCo8bcnLyZH8tBIH9V1mLgqQ,TheOdd1sOut,4641506480,19200000,142,UUo8bcnLyZH8tBIH9V1mLgqQ,"p2tPWRZcJmw,uodVw3USmy8,X5bBd5DpUXg,nEQHiJVH79o,PsEWRCYjwhk,nLncbh0k92E,KZNjf-LNe_8,1X4CBKibwoY,KCHT6a53OqY,2GGA4NlMjKc,36lbW0wSaw8,WhaTru5czpA,ElBxuDVfcl4,pSRnTBl8b4M,yc7HpIeCs2E,Xm-yXsm23_c,ORAipwPUdcI,lldfoaV9mc8,iYJr9pZxSPM,TEaT3SB925o,-FmwUjBAdN0,ChY_HMEVFjU,6eFk5LsiIA8,InAi4kLKtGw,OdF37JM9m-U"
